,feature-vector-1,feature-vector-2,label,cluster
0,3.6311724,6.437909,IMG_20210223_102008.jpg,5
1,8.813535,-0.45521984,IMG_20210223_102746.jpg,4
2,4.595418,6.099336,IMG_20200224_132619.jpg,5
3,8.20773,5.2221704,IMG_20200224_132816.jpg,3
4,9.273908,-1.9981693,IMG_20210329_13252995.jpg,4
5,6.7009153,5.526461,IMG_20200224_132427.jpg,3
6,7.4539723,4.805794,IMG_20210223_101844.jpg,3
7,1.2784659,6.6600833,IMG_20210329_132235.jpg,1
8,4.87274,6.443129,IMG_20210223_102418.jpg,5
9,-4.493199,4.7495685,IMG_20210223_102342.jpg,2
10,8.860049,-1.7304938,IMG_20210223_102425.jpg,4
11,8.304859,4.8131266,IMG_20200224_132354.jpg,3
12,5.3684063,6.018949,IMG_20210223_102141.jpg,5
13,-3.252318,5.0165524,IMG_20210329_13252994.jpg,2
14,-4.801688,4.5887394,IMG_20200224_132156.jpg,2
15,6.5788355,5.6713686,IMG_20210223_102035.jpg,3
16,8.331917,-0.3484753,IMG_20210223_102948.jpg,4
17,4.5035186,6.233334,IMG_20210223_102545.jpg,5
18,-3.158615,5.1150503,IMG_20200224_132208.jpg,2
19,5.972438,6.0379,IMG_20210223_101925.jpg,3
20,4.604192,6.1778374,IMG_20210223_101919.jpg,5
21,9.121799,-1.3347331,IMG_20200224_132544.jpg,4
22,8.528416,2.990129,IMG_20200224_1328010.jpg,0
23,8.456033,3.574563,IMG_20210223_102235.jpg,0
24,9.295929,-1.9100429,IMG_20210223_102023.jpg,4
25,2.8906813,6.1907406,IMG_20200224_132140.jpg,5
26,8.153904,4.3043737,IMG_20210329_13252996.jpg,3
27,8.31948,4.956866,IMG_20200224_132801.jpg,3
28,3.4447665,6.3571663,IMG_20200224_132356.jpg,5
29,6.469658,5.782849,IMG_20210223_102432.jpg,3
30,7.993199,5.1388917,IMG_20200224_132419.jpg,3
31,3.1321337,6.373886,IMG_20200224_132431.jpg,5
32,8.99437,-0.767314,IMG_20210223_102156.jpg,4
33,5.891152,6.1497884,IMG_20210329_13252997.jpg,3
34,6.1432304,5.9159336,IMG_20210223_102817.jpg,3
35,9.059277,0.43348587,IMG_20200224_132627.jpg,4
36,8.795534,-1.5566022,IMG_20200224_132009.jpg,4
37,-2.7276535,5.195488,IMG_20210223_102552.jpg,2
38,8.361779,-0.5216919,IMG_20200224_131931.jpg,4
39,-4.830138,4.47545,IMG_20200224_1328011.jpg,2
40,-2.5906892,5.3877254,IMG_20210223_101932.jpg,2
41,5.117507,6.2641473,IMG_20200224_132237.jpg,5
42,6.7404494,5.3901787,IMG_20200224_132743.jpg,3
43,0.72545075,6.1863456,IMG_20200224_132145.jpg,1
44,-4.56759,4.492575,IMG_20210223_102620.jpg,2
45,-0.66979927,6.6443844,IMG_20210329_13252993.jpg,1
46,8.359265,4.036364,IMG_20200224_131855.jpg,0
47,3.7592885,6.1897526,IMG_20210329_13252992.jpg,5
48,1.4989322,6.378288,IMG_20210223_102219.jpg,1
49,3.065955,6.204885,IMG_20210223_102225.jpg,5
50,0.2229157,6.693648,IMG_20210329_132346.jpg,1
51,8.55842,-0.85062337,IMG_20200224_131922.jpg,4
52,0.22163533,6.2713594,IMG_20200224_132026.jpg,1
53,0.5710085,6.717738,IMG_20210329_13252990.jpg,1
54,8.256317,5.213837,IMG_20200224_132422.jpg,3
55,8.886795,0.12572426,IMG_20210329_13252991.jpg,4
56,8.349173,2.4984546,IMG_20200224_132812.jpg,0
57,8.629731,0.019794667,IMG_20200224_132609.jpg,4
58,8.9462385,2.2796872,IMG_20210223_102018.jpg,0
59,6.9662347,5.179582,IMG_20200224_132557.jpg,3
60,8.189073,4.0963025,IMG_20200224_132256.jpg,0
61,0.91414344,6.291914,IMG_20210223_102255.jpg,1
62,8.113178,5.094384,IMG_20200224_132726.jpg,3
63,8.705401,1.0761284,IMG_20210223_102731.jpg,0
64,8.810149,3.1925895,IMG_20200224_132444.jpg,0
65,8.760879,1.8526764,IMG_20210223_102309.jpg,0
66,3.51484,6.316366,IMG_20210223_102453.jpg,5
67,0.3341957,6.7274637,IMG_20200224_132121.jpg,1
